,category,subcategory,skill
282,Analysis,Statistics Subcategory,Applied Statistics
283,Analysis,Statistics Subcategory,Gaussian Process
284,Analysis,Statistics Subcategory,Statistical Modeling
285,Analysis,Statistics Subcategory,Maximum Likelihood
286,Analysis,Statistics Subcategory,Outliers
287,Analysis,Statistics Subcategory,Logistic Regression
288,Analysis,Statistics Subcategory,Correlation Analysis
289,Analysis,Statistics Subcategory,Probability Distribution
290,Analysis,Statistics Subcategory,Bayesian Statistics
291,Analysis,Statistics Subcategory,Confidence Intervals
292,Analysis,Statistics Subcategory,Model Validation
293,Analysis,Statistics Subcategory,Dependent Variables
294,Analysis,Statistics Subcategory,Multivariate Analysis
295,Analysis,Statistics Subcategory,Statistical Survey
296,Analysis,Statistics Subcategory,Particle Filter
297,Analysis,Statistics Subcategory,Linear Model
298,Analysis,Statistics Subcategory,Panel Data
299,Analysis,Statistics Subcategory,Sampling (Statistics)
300,Analysis,Statistics Subcategory,Probability And Statistics
301,Analysis,Statistics Subcategory,Statistical Methods
302,Analysis,Statistics Subcategory,Bayesian Modeling
303,Analysis,Statistics Subcategory,Chi-Squared Tests
304,Analysis,Statistics Subcategory,Normal Distribution
305,Analysis,Statistics Subcategory,Statistics
306,Analysis,Statistics Subcategory,Statistical Inference
307,Analysis,Statistics Subcategory,Conjoint Analysis
308,Analysis,Statistics Subcategory,Statistical Hypothesis Testing
309,Analysis,Statistics Subcategory,Propagation Of Uncertainty
310,Analysis,Statistics Subcategory,Linear Discriminant Analysis
311,Analysis,Statistics Subcategory,Categorical Data
312,Analysis,Statistics Subcategory,Simple Random Sample
313,Analysis,Statistics Subcategory,Computational Statistics
314,Analysis,Statistics Subcategory,Linear Regression
315,Analysis,Statistics Subcategory,Kalman Filter
316,Analysis,Statistics Subcategory,Descriptive Statistics
317,Analysis,Statistics Subcategory,Mixture Model
318,Analysis,Statistics Subcategory,Actuarial Science
319,Analysis,Statistics Subcategory,Moving Average
320,Analysis,Statistics Subcategory,Hierarchical Clustering
321,Architecture and Construction,Architectural Design,Architectural Models
322,Architecture and Construction,Architectural Design,Autodesk Revit
323,Architecture and Construction,Architectural Design,Building Information Modeling
324,Architecture and Construction,Architectural Design,Building Design
325,Architecture and Construction,Architectural Design,Spatial Design
326,Architecture and Construction,Architectural Design,Spatial Planning
327,Architecture and Construction,Carpentry Subcategory,Carpentry
328,Architecture and Construction,Concrete and Masonry,Reinforced Concrete
329,Architecture and Construction,Concrete and Masonry,Masonry
330,Architecture and Construction,Concrete and Masonry,Concrete Mixing And Batching
331,Architecture and Construction,Construction Estimating,Cost Estimation
332,Architecture and Construction,Construction Inspection,Building Codes
333,Architecture and Construction,Construction Management Subcategory,Staging Area
334,Architecture and Construction,Construction Management Subcategory,Construction Management
335,Architecture and Construction,Construction Management Subcategory,Renovation
336,Architecture and Construction,Construction Management Subcategory,Composite Structures
337,Architecture and Construction,Construction Painting,Painting
338,Architecture and Construction,Electrical Construction,Smart Grid
339,Architecture and Construction,General Construction and Construction Labor,Signaling (Crane Rigging)
340,Architecture and Construction,General Construction and Construction Labor,Insulator
341,Architecture and Construction,General Construction and Construction Labor,Trenching
342,Architecture and Construction,General Construction and Construction Labor,Construction
343,Architecture and Construction,Green Architecture,Green Building
344,Architecture and Construction,Insulation,Thermal Insulation
345,Architecture and Construction,Interior Design,Furnishing
346,Architecture and Construction,Interior Design,Residential Design
347,Architecture and Construction,Road and Bridge Construction,Traffic Control
348,Architecture and Construction,Roofing Subcategory,Roofing
349,Business,Business Analysis Subcategory,Task Analysis
350,Business,Business Analysis Subcategory,Demand Modeling
351,Business,Business Analysis Subcategory,Workflows
352,Business,Business Analysis Subcategory,Continuous Improvement Process
353,Business,Business Analysis Subcategory,Business Process Modeling
354,Business,Business Analysis Subcategory,Business Risk Management
355,Business,Business Analysis Subcategory,Risk Analytics
356,Business,Business Analysis Subcategory,Competitive Intelligence
357,Business,Business Analysis Subcategory,Use Case Analysis
358,Business,Business Analysis Subcategory,Digital Strategy Development
359,Business,Business Analysis Subcategory,Analytic Applications
360,Business,Business Analysis Subcategory,Risk Reduction
361,Business,Business Analysis Subcategory,Context Analysis
362,Business,Business Analysis Subcategory,Business Statistics
363,Business,Business Analysis Subcategory,Gap Analysis
364,Business,Business Analysis Subcategory,Revenue Management
365,Business,Business Analysis Subcategory,Business Science
366,Business,Business Analysis Subcategory,Business Workflow Analysis
367,Business,Business Analysis Subcategory,Integrated Business Planning
368,Business,Business Analysis Subcategory,Demand Management
369,Business,Business Analysis Subcategory,Decision-Making Software
370,Business,Business Analysis Subcategory,International Trade
371,Business,Business Analysis Subcategory,Business Objects Framework
372,Business,Business Analysis Subcategory,Business Analysis
373,Business,Business Analysis Subcategory,Business Technologies
374,Business,Business Analysis Subcategory,Situation Analysis
375,Business,Business Analysis Subcategory,Opportunity Analysis
376,Business,Business Analysis Subcategory,Business Requirements
377,Business,Business Analysis Subcategory,Business Studies
378,Business,Business Analysis Subcategory,Business Systems
379,Business,Business Analysis Subcategory,Value Chain
380,Business,Business Communications,Slack (Software)
381,Business,Business Communications,Business Communication
382,Business,Business Communications,Strategic Communication
383,Business,Business Communications,Preparing Executive Summaries
384,Business,Business Communications,Crisis Communications
385,Business,Business Communications,Digital Communications
386,Business,Business Communications,Communication Strategies
387,Business,Business Communications,Organizational Communications
388,Business,Business Communications,Shareholder Communications
389,Business,Business Consulting,Consulting
390,Business,Business Consulting,Management Consulting
391,Business,Business Continuity Subcategory,Business Continuity
392,Business,Business Continuity Subcategory,Corporate Security
393,Business,Business Continuity Subcategory,Disaster Recovery
394,Business,Business Continuity Subcategory,Resilience Planning
395,Business,Business Continuity Subcategory,Business Continuity Planning
396,Business,Business Continuity Subcategory,Contingency Planning
397,Business,Business Continuity Subcategory,Business Continuity And Disaster Recovery
398,Business,Business Leadership,Business Relationship Management
399,Business,Business Leadership,Entrepreneurial Leadership
400,Business,Business Leadership,Technology Entrepreneurship
401,Business,Business Leadership,Stakeholder Engagement
402,Business,Business Leadership,Innovation Leadership
403,Business,Business Leadership,Business Networking
404,Business,Business Leadership,Management Styles
405,Business,Business Leadership,Global Leadership
406,Business,Business Leadership,Organizational Leadership
407,Business,Business Leadership,Institutional Change
408,Business,Business Leadership,Professional Networking
409,Business,Business Leadership,Ethical Leadership
410,Business,Business Leadership,Middle Management
411,Business,Business Leadership,Thought Leadership
412,Business,Business Leadership,Leadership Studies
413,Business,Business Management,Triple Bottom Line (TBL)
414,Business,Business Management,Resource Management
415,Business,Business Management,Consensus Decision-Making
416,Business,Business Management,Global Management
417,Business,Business Management,Business Concepts
418,Business,Business Management,Management Control
419,Business,Business Management,Business Transaction Management
420,Business,Business Management,Restaurant Management
421,Business,Business Management,Business Performance Management
422,Business,Business Management,Business Structures
423,Business,Business Management,Management
424,Business,Business Management,Stakeholder Identification
425,Business,Business Management,Creating Shareholder Value
426,Business,Business Management,Non-Profit Organization
427,Business,Business Management,Governance
428,Business,Business Management,Management Effectiveness
429,Business,Business Management,Joint Ventures
430,Business,Business Management,Change Management
431,Business,Business Operations Subcategory,Knowledge Management
432,Business,Business Operations Subcategory,Operational Data Store
433,Business,Business Operations Subcategory,Feasibility Studies
434,Business,Business Operations Subcategory,Enterprise Resource Planning
435,Business,Business Operations Subcategory,Service Design
436,Business,Business Operations Subcategory,Operational Excellence
437,Business,Business Operations Subcategory,Dynamic Business Process Management
438,Business,Business Operations Subcategory,Operational Planning
439,Business,Business Operations Subcategory,Business Process
440,Business,Business Operations Subcategory,Sales Inventory And Operations Planning
441,Business,Business Operations Subcategory,Business Operations
442,Business,Business Operations Subcategory,Business Administration
443,Business,Business Operations Subcategory,Sales Order
444,Business,Business Operations Subcategory,Microsoft Dynamics
445,Business,Business Operations Subcategory,Operationalization
446,Business,Business Operations Subcategory,Operations
447,Business,Business Operations Subcategory,Business Support Systems
448,Business,Business Operations Subcategory,Operations Management
449,Business,Business Solutions,Technological Change
450,Business,Business Solutions,Service Innovation
451,Business,Business Solutions,Solution Architecture
452,Business,Business Solutions,Innovation Management
453,Business,Business Solutions,Business Software
454,Business,Business Solutions,Order Management Systems
455,Business,Business Solutions,Outsourcing
456,Business,Business Solutions,Application Services
457,Business,Business Solutions,Business Case
458,Business,Business Solutions,Technology Solutions
459,Business,Business Solutions,Technology Ecosystems
460,Business,Business Solutions,OneDrive for Business
461,Business,Business Solutions,Applied Business Technologies
462,Business,Business Strategy,Trade Relations
463,Business,Business Strategy,Industry Analysis
464,Business,Business Strategy,Marketing Performance Measurement And Management
465,Business,Business Strategy,Business Strategies
466,Business,Business Strategy,Social Entrepreneurship
467,Business,Business Strategy,Scenario Planning
468,Business,Business Strategy,Customer Demand Planning
469,Business,Business Strategy,Market Risk
470,Business,Business Strategy,Value Creation
471,Business,Business Strategy,Restructuring (Business)
472,Business,Business Strategy,Strategic Decision-Making
473,Business,Business Strategy,Organizational Change
474,Business,Business Strategy,Organizational Strategy
475,Business,Business Strategy,Risk Analysis
476,Business,Business Strategy,Strategic Alliance
477,Business,Business Strategy,Risk Management
478,Business,Business Strategy,Strategic Alignment
479,Business,Business Strategy,Growth Strategies
480,Business,Business Strategy,Corporate Sustainability
481,Business,Business Strategy,International Business
482,Business,Business Strategy,Strategic Planning
483,Business,Business Strategy,Organizational Structure
484,Business,Business Strategy,Liquidity Risk
485,Business,Business Strategy,Business Development
486,Business,Business Strategy,Strategic Management
487,Business,Business Strategy,Business Planning
488,Business,Business Strategy,Asset Liability Management
489,Business,Business Strategy,SWOT Analysis
490,Business,Business Strategy,Benchmarking
491,Business,Business Strategy,Resource Mobilization
492,Business,Business Strategy,Negotiation Strategies
493,Business,Business Strategy,Creative Strategies
494,Business,Business Strategy,Change Management Planning
495,Business,Business Strategy,Strategic Thinking
496,Business,Business Strategy,Technology Adoption Lifecycle
497,Business,Business Strategy,Niche Markets
498,Business,Business Strategy,Positioning Strategy
499,Business,Business Strategy,Decision Analysis
500,Business,Business Strategy,Organizational Theories
501,Business,Business Strategy,Strategy Execution
502,Business,Business Strategy,Cost Structures
503,Business,Business Strategy,Strategic Leadership
504,Business,Business Strategy,Business Modeling
505,Business,Business Strategy,Organizational Development
506,Business,Business Strategy,Business Transformation
507,Business,Business Strategy,Risk Management Framework
508,Business,Business Strategy,Strategic Business Unit
509,Business,Business Strategy,Organizational Architecture
510,Business,Business Strategy,Organic Growth
511,Business,Contract Management Subcategory,Covenants
512,Business,Contract Management Subcategory,Bidding
513,Business,Contract Management Subcategory,Service Level Objectives
514,Business,Contract Management Subcategory,Service-Level Agreement
515,Business,Contract Management Subcategory,Contract Negotiation
516,Business,Contract Management Subcategory,Due Diligence
517,Business,Contract Management Subcategory,Subcontracting
518,Business,Contract Management Subcategory,Contract Management
519,Business,Contract Management Subcategory,Operational-Level Agreement
520,Business,Customer Relationship Management (CRM),Salesforce
521,Business,Customer Relationship Management (CRM),Customer Data Management
522,Business,Customer Relationship Management (CRM),Customer Lifecycle Management
523,Business,Customer Relationship Management (CRM),Customer Relationship Management
524,Business,People Management Subcategory,Team Building
525,Business,People Management Subcategory,Empowerment
526,Business,People Management Subcategory,Distributed Team Management
527,Business,People Management Subcategory,Team Leadership
528,Business,People Management Subcategory,Conflict Management
529,Business,People Management Subcategory,Virtual Teams
530,Business,People Management Subcategory,Relationship Management
531,Business,People Management Subcategory,Team Management
532,Business,People Management Subcategory,Prosci ADKAR Model
533,Business,Performance Management Subcategory,Workforce Productivity
534,Business,Performance Management Subcategory,Performance Appraisal
535,Business,Performance Management Subcategory,Team Performance Management
536,Business,Performance Management Subcategory,Performance Management
537,Business,Performance Management Subcategory,Team Motivation
538,Business,Performance Management Subcategory,Human Performance Technology
539,Business,Performance Management Subcategory,Project Performance
540,Business,Performance Management Subcategory,Performance Measurement
